Ejecución,Tiempos_Base_ms,Tiempos_Const_ms,Tiempos_Shared_ms,Speedup_Base_Const,Speedup_Const_Shared,Speedup_Base_Shared
1,3.298304,3.267584,2.505728,1.00940144155437167032,1.30404577033101757253,1.31630568042501021659
2,3.196928,3.347456,2.726912,.95503211991434689507,1.22756289898610589560,1.17236199774690199023
3,13.084672,12.936192,2.689024,1.01147787540568352726,4.81073876618431073876,4.86595582635186595582
4,3.439616,3.485696,2.970624,.98678025851938895417,1.17338848672871423647,1.15787659427783522923
5,3.486720,2.882560,2.469888,1.20959147424511545293,1.16708126036484245439,1.41169154228855721393
6,3.127296,3.345408,2.707456,.93480257116620752984,1.23562783661119515885,1.15506807866868381240
7,3.244032,3.478528,2.632704,.93258757727406535178,1.32127576818358615324,1.23220536756126021003
8,13.258752,3.272704,2.875392,4.05131414267834793491,1.13817663817663817663,4.61111111111111111111
9,3.239936,3.666944,2.882560,.88355208042446244065,1.27211367673179396092,1.12397868561278863232
10,3.860480,3.351552,2.488320,1.15184845707302169263,1.34691358024691358024,1.55144032921810699588
11,3.431424,3.446784,2.854912,.99554367201426024955,1.20731707317073170731,1.20193687230989956958
12,13.273088,13.159424,3.098624,1.00863746011983503229,4.24686054196959682749,4.28354263053536021150
13,3.854336,3.514368,2.535424,1.09673659673659673659,1.38610662358642972536,1.52019386106623586429
14,3.636224,3.491840,2.803712,1.04134897360703812316,1.24543462381300219138,1.29693206720233747260
15,3.392512,3.211264,2.860032,1.05644132653061224489,1.12280701754385964912,1.18617973505191550304
16,3.277824,3.673088,2.799616,.89238918316141622525,1.31199707388441843452,1.17081199707388441843
17,3.610624,12.870656,2.941952,.28053146630599093006,4.37486947441698572920,1.22728854855551688130
18,3.353600,3.353600,2.627584,1.00000000000000000000,1.27630553390491036632,1.27630553390491036632
19,2.641920,3.552256,2.577408,.74373018160853271836,1.37822804926499801350,1.02502979737783075089
20,13.708288,2.743296,2.868224,4.99701381112355356476,.95644412709746519100,4.77936451267404498393
